X,Y
0.466377,-0.018949
-0.451926,0.851174
0.82209,0.455002
1.11422,-0.0458286
0.113746,-0.92367
-0.841295,-0.501889
0.496273,-0.218998
0.911744,0.208964
0.350348,0.476335
-0.888766,0.195579
0.293805,0.440068
-0.438908,-0.053116
0.888344,0.272302
1.05118,0.0172565
0.428771,0.373903
-0.721044,0.674779
-0.861745,0.55424
0.241987,-0.426368
0.315839,-0.322897
-0.0769815,-0.480965
-0.267533,0.999366
-0.0808785,0.425378
-0.283585,1.02423
-0.307598,-0.38188
-0.133251,0.499757
0.211161,-1.0053
0.514742,0.846007
0.0922095,0.464703
-0.504693,0.896168
-0.421489,0.30463
-0.269803,-0.446513
0.927606,0.475538
-0.0373705,0.530174
0.407521,-0.172428
-0.337485,-0.457686
0.230409,-0.406932
-0.713406,0.704875
0.486985,-0.199092
0.903152,-0.321678
-0.470773,0.188014
-0.457581,-0.161802
0.409506,-0.299995
0.468654,-0.188241
-0.874492,0.0924653
0.73051,-0.661586
1.03702,-0.232883
-0.703482,-0.768876
-0.407164,-0.243344
-0.229646,-0.99087
0.196694,0.443022
0.430681,0.146649
0.0078841,-0.521748
0.420853,0.904772
0.522785,0.168249
-0.0155757,0.498104
0.265391,0.995747
-0.463049,0.261838
0.961969,0.0543499
0.854837,0.486843
-0.415009,-0.0941326
0.412262,-0.302389
-0.775096,0.726333
-0.46157,-0.21187
-0.991263,-0.151218
0.375441,0.993266
-0.331465,-0.890595
0.387239,-0.378017
-0.484763,1.03069
0.0289355,0.507936
0.972829,0.130282
-0.563208,-0.0759346
-0.0999566,-0.497938
-0.40979,-0.187186
0.500744,0.298769
-0.956599,-0.375775
-0.967314,-0.290466
-0.308991,-0.424411
-1.1262,-0.128263
0.246919,0.980142
-0.96669,-0.40148
0.937011,0.35616
-0.957711,0.185056
-0.614576,0.836622
-0.476186,0.136785
-0.495311,0.0400526
-0.203551,1.05906
-0.579952,-0.692293
-0.31038,0.32855
-0.153783,-0.469236
0.115913,-0.461911
0.189863,-0.460638
0.454331,-0.918538
0.366832,0.414559
-0.400338,0.164806
-0.104732,-0.48619
-0.882133,0.51968
0.691752,0.751164
-0.284414,-0.421814
-0.686078,-0.651476
-0.378934,-0.362385
-0.107427,-0.418694
-0.188294,-0.514046
0.702373,0.794065
-1.1606,0.130749
0.325918,-0.963118
-0.446528,0.130263
0.119827,0.456723
-0.236995,0.380859
-0.907889,0.457498
-0.389913,-0.289402
-0.0858436,-1.01974
0.0304941,-0.618977
0.17742,0.942055
0.317055,0.386509
-0.26974,-0.361069
0.758011,-0.650312
-0.287004,-0.420638
0.897931,0.544816
0.901364,-0.407317
0.87945,-0.472797
0.0159017,-0.893629
-0.385287,0.324388
0.0141667,1.01921
-0.0702126,1.02764
